"conc","fronds_number","ros","lpo","oxphos","fv_fm","etr"
0,122,2889,2.25,10580,0.67,20.536
0,122,3635,2.33,9568,0.665,20.346
0,105,4380,3.36,9476,0.663,19.416
0.5,122,3285,2.27,8633,0.685,17.099
0.5,114,4443,2.66,7671,0.677,16.908
0.5,112,5601,2.79,7479,0.676,14.199
1,102,5542,3.29,5774,0.663,11.814
1,100,5833,3.96,5583,0.662,11.6
1,94,6124,4.35,5379,0.646,11.131
1.5,82,6157,4.68,4243,0.54,8.522
1.5,79,6633,4.92,4122,0.484,8.264
1.5,77,7110,5.14,3988,0.473,7.592
2,50,7341,4.45,4077,0.247,3.371
2,47,9750,4.9,3620,0.231,2.094
2,45,12159,5.11,3372,0.224,1.904
3,18,8032,3.85,3473,0.048,0.504
3,18,8636,4.43,3269,0.028,0.437
3,17,9240,4.94,3018,0.022,0.001
4,15,NA,NA,NA,0.02,0
4,13,NA,NA,NA,0,0
4,12,NA,NA,NA,0,0
8,12,NA,NA,NA,NA,NA
8,12,NA,NA,NA,NA,NA
8,12,NA,NA,NA,NA,NA
