reg,ros,sim
1,1926,0.647538824
1,1942,0.647538824
1,1958,0.647538823
1,1974,0.647538823
1,1991,0.647538822
1,2007,0.647538822
1,2023,0.647538821
1,2040,0.647538821
1,2056,0.64753882
1,2072,0.647538819
1,2089,0.647538818
1,2105,0.647538817
1,2121,0.647538816
1,2138,0.647538814
1,2154,0.647538813
1,2170,0.647538811
1,2187,0.647538809
1,2203,0.647538807
1,2219,0.647538805
1,2236,0.647538803
1,2252,0.6475388
1,2268,0.647538797
1,2285,0.647538793
1,2301,0.64753879
1,2317,0.647538786
1,2334,0.647538781
1,2350,0.647538777
1,2366,0.647538771
1,2383,0.647538765
1,2399,0.647538759
1,2415,0.647538752
1,2432,0.647538744
1,2448,0.647538735
1,2464,0.647538726
1,2481,0.647538715
1,2497,0.647538704
1,2513,0.647538692
1,2530,0.647538678
1,2546,0.647538664
1,2562,0.647538648
1,2579,0.64753863
1,2595,0.647538611
1,2611,0.647538591
1,2628,0.647538567
1,2644,0.647538543
1,2660,0.647538517
1,2677,0.647538487
1,2693,0.647538455
1,2709,0.647538422
1,2726,0.647538383
1,2742,0.647538343
1,2758,0.6475383
1,2775,0.64753825
1,2791,0.6475382
1,2807,0.647538145
1,2824,0.647538082
1,2840,0.647538017
1,2856,0.647537948
1,2873,0.647537868
1,2889,0.647537786
1,2905,0.647537698
1,2922,0.647537598
1,2938,0.647537495
1,2954,0.647537385
1,2971,0.647537258
1,2987,0.64753713
1,3003,0.647536991
1,3020,0.647536833
1,3036,0.647536672
1,3052,0.6475365
1,3069,0.647536302
1,3085,0.647536102
1,3101,0.647535887
1,3118,0.647535642
1,3134,0.647535393
1,3150,0.647535127
1,3166,0.647534842
1,3183,0.647534516
1,3199,0.647534187
1,3215,0.647533835
1,3232,0.647533434
1,3248,0.647533029
1,3264,0.647532595
1,3281,0.647532102
1,3297,0.647531605
1,3313,0.647531073
1,3330,0.647530469
1,3346,0.64752986
1,3362,0.647529211
1,3379,0.647528472
1,3395,0.64752773
1,3411,0.647526937
1,3428,0.647526038
1,3444,0.647525134
1,3460,0.647524171
1,3477,0.647523079
1,3493,0.647521982
1,3509,0.647520814
1,3526,0.647519492
1,3542,0.647518164
1,3558,0.647516752
1,3575,0.647515154
1,3591,0.647513552
1,3607,0.647511849
1,3624,0.647509923
1,3640,0.647507994
1,3656,0.647505946
1,3673,0.647503631
1,3689,0.647501315
1,3705,0.647498857
1,3722,0.647496081
1,3738,0.647493306
1,3754,0.647490363
1,3771,0.647487044
1,3787,0.647483726
1,3803,0.647480212
1,3820,0.64747625
1,3836,0.647472295
1,3852,0.647468108
1,3869,0.64746339
1,3885,0.647458684
1,3901,0.647453706
1,3918,0.647448101
1,3934,0.647442514
1,3950,0.647436608
1,3967,0.647429964
1,3983,0.647423345
1,3999,0.647416353
1,4016,0.647408493
1,4032,0.647400669
1,4048,0.647392409
1,4065,0.64738313
1,4081,0.647373899
1,4097,0.64736416
1,4114,0.647353227
1,4130,0.647342358
1,4146,0.647330899
1,4163,0.647318043
1,4179,0.647305271
1,4195,0.647291813
1,4212,0.647276725
1,4228,0.647261745
1,4244,0.64724597
1,4261,0.647228295
1,4277,0.647210757
1,4293,0.647192301
1,4310,0.647171634
1,4326,0.64715114
1,4342,0.647129584
1,4358,0.647106917
1,4375,0.647081556
1,4391,0.647056427
1,4407,0.647030017
1,4424,0.647000485
1,4440,0.64697124
1,4456,0.646940521
1,4473,0.646906192
1,4489,0.646872216
1,4505,0.646836547
1,4522,0.646796708
1,4538,0.646757301
1,4554,0.646715953
1,4571,0.646669797
1,4587,0.646624167
1,4603,0.646576315
1,4620,0.646522929
1,4636,0.646470178
1,4652,0.646414889
1,4669,0.646353237
1,4685,0.646292353
1,4701,0.646228573
1,4718,0.64615749
1,4734,0.64608733
1,4750,0.646013869
1,4767,0.645932042
1,4783,0.645851318
1,4799,0.64576684
1,4816,0.645672789
1,4832,0.645580054
1,4848,0.645483056
1,4865,0.645375121
1,4881,0.645268753
1,4897,0.645157548
1,4914,0.645033869
1,4930,0.644912047
1,4946,0.644784749
1,4963,0.644643243
1,4979,0.644503933
1,4995,0.644358432
1,5012,0.644196775
1,5028,0.644037705
1,5044,0.643871649
1,5061,0.643687248
1,5077,0.64350589
1,5093,0.64331666
1,5110,0.64310663
1,5126,0.642900172
1,5142,0.642684858
1,5159,0.642445999
1,5175,0.642211322
1,5191,0.6419667
1,5208,0.641695467
1,5224,0.641429119
1,5240,0.641151623
1,5257,0.6408441
1,5273,0.640542272
1,5289,0.64022797
1,5306,0.63987984
1,5322,0.639538337
1,5338,0.639182903
1,5355,0.638789424
1,5371,0.638403643
1,5387,0.638002335
1,5404,0.637558312
1,5420,0.637123215
1,5436,0.636670847
1,5453,0.63617061
1,5469,0.635680702
1,5485,0.635171629
1,5502,0.634609008
1,5518,0.634058323
1,5534,0.633486419
1,5551,0.632854732
1,5567,0.632236816
1,5583,0.631595466
1,5599,0.630929924
1,5616,0.630195411
1,5632,0.629477505
1,5648,0.628732981
1,5665,0.62791183
1,5681,0.627109773
1,5697,0.626278512
1,5714,0.625362319
1,5730,0.624468042
1,5746,0.623541831
1,5763,0.622521711
1,5779,0.621526711
1,5795,0.620496915
1,5812,0.619363556
1,5828,0.618258947
1,5844,0.617116569
1,5861,0.6158603
1,5877,0.614636887
1,5893,0.613372651
1,5910,0.611983543
1,5926,0.610631924
1,5942,0.609236387
1,5959,0.607704379
1,5975,0.606215074
1,5991,0.604678769
1,6008,0.602993832
1,6024,0.601357456
1,6040,0.599671067
1,6057,0.597823409
1,6073,0.596030868
1,6089,0.594185448
1,6106,0.592165754
1,6122,0.590208492
1,6138,0.588195718
1,6155,0.585995437
1,6171,0.583865713
1,6187,0.581678181
1,6204,0.579289849
1,6220,0.57698106
1,6236,0.574612609
1,6253,0.572030213
1,6269,0.569537238
1,6285,0.566983313
1,6302,0.564202674
1,6318,0.561522248
1,6334,0.558780271
1,6351,0.555799449
1,6367,0.552930538
1,6383,0.550000284
1,6400,0.546819969
1,6416,0.543764137
1,6432,0.54064809
1,6449,0.537271971
1,6465,0.534033707
1,6481,0.530737376
1,6498,0.527172448
1,6514,0.523759437
1,6530,0.520291592
1,6547,0.516548381
1,6563,0.512971678
1,6579,0.509344495
1,6596,0.505437165
1,6612,0.501711254
1,6628,0.497940326
1,6645,0.493886646
1,6661,0.490029357
1,6677,0.486133564
1,6694,0.481954707
1,6710,0.477986981
1,6726,0.473988198
1,6743,0.46970838
1,6759,0.465653865
1,6775,0.461576513
1,6791,0.457479144
1,6808,0.453106966
1,6824,0.448977423
1,6840,0.444836782
1,6857,0.440428522
1,6873,0.436274412
1,6889,0.432118364
1,6906,0.427703793
1,6922,0.423553206
1,6938,0.419409817
1,6955,0.415018635
1,6971,0.410899315
1,6987,0.406796047
1,7004,0.402457029
1,7020,0.398395598
1,7036,0.394358544
1,7053,0.390098757
1,7069,0.386119999
1,7085,0.382173211
1,7102,0.378017338
1,7118,0.374143608
1,7134,0.37030854
1,7151,0.366278346
1,7167,0.362529117
1,7183,0.358824232
1,7200,0.354938192
1,7216,0.351329762
1,7232,0.347770282
1,7249,0.344043386
1,7265,0.340588741
1,7281,0.337186566
1,7298,0.333630273
1,7314,0.330339096
1,7330,0.327102857
1,7347,0.323725202
1,7363,0.320604012
1,7379,0.317539238
1,7396,0.314345048
1,7412,0.311397429
1,7428,0.308506813
1,7445,0.305498006
1,7461,0.302724917
1,7477,0.300008631
1,7494,0.297184575
1,7510,0.294584692
1,7526,0.292040746
1,7543,0.289398639
1,7559,0.286968719
1,7575,0.284593324
1,7592,0.282128581
1,7608,0.279863825
1,7624,0.277651747
1,7641,0.275358374
1,7657,0.273252767
1,7673,0.271197663
1,7690,0.269068598
1,7706,0.26711522
1,7722,0.26520994
1,7739,0.26323736
1,7755,0.261428669
1,7771,0.259665517
1,7788,0.257841109
1,7804,0.256169174
1,7820,0.25454014
1,7837,0.252855325
1,7853,0.251312029
1,7869,0.249808971
1,7886,0.248255093
1,7902,0.246832296
1,7918,0.245447097
1,7935,0.24401557
1,7951,0.24270524
1,7967,0.241429926
1,7983,0.240188804
1,8000,0.238906663
1,8016,0.237733496
1,8032,0.236592056
1,8049,0.235413164
1,8065,0.234334705
1,8081,0.233285618
1,8098,0.232202314
1,8114,0.231211474
1,8130,0.230247772
1,8147,0.229252787
1,8163,0.228342854
1,8179,0.227457953
1,8196,0.226544433
1,8212,0.225709091
1,8228,0.224896802
1,8245,0.224058318
1,8261,0.223291647
1,8277,0.222546185
1,8294,0.221776728
1,8310,0.221073209
1,8326,0.22038918
1,8343,0.21968316
1,8359,0.219037659
1,8375,0.218410056
1,8392,0.217762284
1,8408,0.217170046
1,8424,0.216594229
1,8441,0.215999906
1,8457,0.215456529
1,8473,0.214928212
1,8490,0.214382905
1,8506,0.213884331
1,8522,0.213399561
1,8539,0.212899186
1,8555,0.212441675
1,8571,0.211996815
1,8588,0.211537612
1,8604,0.211117726
1,8620,0.210709429
1,8637,0.210287945
1,8653,0.209902525
1,8669,0.20952772
1,8686,0.209140784
1,8702,0.208786932
1,8718,0.208442802
1,8735,0.208087507
1,8751,0.207762566
1,8767,0.207446528
1,8784,0.20712021
1,8800,0.206821746
1,8816,0.206531434
1,8833,0.206231654
1,8849,0.205957437
1,8865,0.205690688
1,8882,0.205415212
1,8898,0.205163203
1,8914,0.204918034
1,8931,0.20466482
1,8947,0.204433153
1,8963,0.204207752
1,8980,0.203974931
1,8996,0.2037619
1,9012,0.203554609
1,9029,0.203340472
1,9045,0.203144516
1,9061,0.20295382
1,9078,0.202756804
1,9094,0.202576497
1,9110,0.20240101
1,9127,0.202219688
1,9143,0.202053724
1,9159,0.20189218
1,9176,0.201725245
1,9192,0.201572432
1,9208,0.201423672
1,9224,0.201278853
1,9241,0.201129178
1,9257,0.200992144
1,9273,0.200858725
1,9290,0.200720816
1,9306,0.200594539
1,9322,0.20047158
1,9339,0.200344467
1,9355,0.200228062
1,9371,0.200114702
1,9388,0.199997499
1,9404,0.199890157
1,9420,0.19978561
1,9437,0.199677505
1,9453,0.199578484
1,9469,0.19948203
1,9486,0.199382283
1,9502,0.199290905
1,9518,0.199201886
1,9535,0.199109816
1,9551,0.199025462
1,9567,0.198943275
1,9584,0.198858261
1,9600,0.198780362
1,9616,0.198704456
1,9633,0.198625929
1,9649,0.198553965
1,9665,0.198483834
1,9682,0.198411273
1,9698,0.198344769
1,9714,0.198279951
1,9731,0.198212878
1,9747,0.198151397
1,9763,0.198091467
1,9780,0.198029446
1,9796,0.197972587
1,9812,0.197917158
1,9829,0.197859786
1,9845,0.197807185
1,9861,0.197755899
1,9878,0.19770281
1,9894,0.197654129
1,9910,0.19760666
1,9927,0.197557517
1,9943,0.197512448
1,9959,0.197468496
1,9976,0.197422989
1,9992,0.19738125
1,10008,0.19734054
1,10025,0.197298385
1,10041,0.197259716
1,10057,0.197221996
1,10074,0.197182932
1,10090,0.197147094
1,10106,0.197112133
1,10123,0.197075921
1,10139,0.197042696
1,10155,0.197010279
1,10172,0.1969767
1,10188,0.196945886
1,10204,0.196915819
1,10221,0.196884669
1,10237,0.196856082
1,10253,0.196828184
1,10270,0.196799278
1,10286,0.196772748
1,10302,0.196746854
1,10319,0.196720022
1,10335,0.196695391
1,10351,0.196671349
1,10368,0.196646433
1,10384,0.196623559
1,10400,0.196601229
1,10416,0.19657943
1,10433,0.196556835
1,10449,0.196536088
1,10465,0.196515832
1,10482,0.196494834
1,10498,0.196475551
1,10514,0.196456723
1,10531,0.196437203
1,10547,0.196419275
1,10563,0.196401768
1,10580,0.196383616
1,10596,0.196366943
1,10612,0.196350659
1,10629,0.196333773
1,10645,0.196318261
1,10661,0.19630311
1,10678,0.196287397
1,10694,0.196272962
1,10710,0.19625886
1,10727,0.196244234
1,10743,0.196230796
1,10759,0.196217667
1,10776,0.196204048
1,10792,0.196191533
1,10808,0.196179306
1,10825,0.196166621
1,10841,0.196154964
1,10857,0.196143572
1,10874,0.196131753
1,10890,0.196120891
1,10906,0.196110275
1,10923,0.19609926
1,10939,0.196089134
1,10955,0.196079238
1,10972,0.196068969
1,10988,0.196059528
1,11004,0.1960503
1,11021,0.196040723
1,11037,0.196031917
1,11053,0.19602331
1,11070,0.196014375
1,11086,0.19600616
1,11102,0.195998129
1,11119,0.195989791
1,11135,0.195982125
1,11151,0.195974629
1,11168,0.195966846
1,11184,0.195959689
1,11200,0.195952691
1,11217,0.195945424
1,11233,0.195938741
1,11249,0.195932205
1,11266,0.195925418
1,11282,0.195919175
1,11298,0.19591307
1,11315,0.195906729
1,11331,0.195900896
1,11347,0.19589519
1,11364,0.195889265
1,11380,0.195883813
1,11396,0.19587848
1,11413,0.195872941
1,11429,0.195867844
1,11445,0.195862858
1,11462,0.195857678
1,11478,0.195852911
1,11494,0.195848248
1,11511,0.195843403
1,11527,0.195838945
1,11543,0.195834582
1,11560,0.195830049
1,11576,0.195825877
1,11592,0.195821795
1,11608,0.195817799
1,11625,0.195813648
1,11641,0.195809826
1,11657,0.195806086
1,11674,0.1958022
1,11690,0.195798622
1,11706,0.195795119
1,11723,0.19579148
1,11739,0.195788129
1,11755,0.195784848
1,11772,0.195781439
1,11788,0.1957783
1,11804,0.195775226
1,11821,0.195772032
1,11837,0.19576909
1,11853,0.19576621
1,11870,0.195763216
1,11886,0.195760459
1,11902,0.195757759
1,11919,0.195754952
1,11935,0.195752367
1,11951,0.195749835
1,11968,0.195747203
1,11984,0.195744779
1,12000,0.195742405
1,12017,0.195739936
1,12033,0.195737662
1,12049,0.195735434
1,12066,0.195733118
1,12082,0.195730984
1,12098,0.195728894
1,12115,0.195726721
1,12131,0.195724718
1,12147,0.195722756
1,12164,0.195720716
1,12180,0.195718836
1,12196,0.195716994
1,12213,0.195715078
1,12229,0.195713312
1,12245,0.195711583
1,12262,0.195709783
1,12278,0.195708125
1,12294,0.195706501
1,12311,0.19570481
1,12327,0.195703253
1,12343,0.195701726
1,12360,0.195700138
1,12376,0.195698674
1,12392,0.195697239
1,12409,0.195695746
1,12425,0.19569437
1,12441,0.195693022
1,12458,0.195691619
1,12474,0.195690325
1,12490,0.195689057
1,12507,0.195687737
1,12523,0.195686521
1,12539,0.195685328
1,12556,0.195684087
1,12572,0.195682943
1,12588,0.195681821
1,12605,0.195680653
1,12621,0.195679577
1,12637,0.195678521
1,12654,0.195677422
1,12670,0.195676409
1,12686,0.195675416
1,12703,0.195674382
1,12719,0.195673428
1,12735,0.195672493
1,12752,0.195671519
1,12768,0.195670621
1,12784,0.195669741
1,12801,0.195668824
1,12817,0.195667978
1,12833,0.195667149
1,12849,0.195666336
1,12866,0.195665489
1,12882,0.195664708
1,12898,0.195663942
1,12915,0.195663144
1,12931,0.195662408
1,12947,0.195661686
1,12964,0.195660934
1,12980,0.19566024
1,12996,0.19565956
1,13013,0.195658851
1,13029,0.195658197
1,13045,0.195657556
1,13062,0.195656888
1,13078,0.195656271
1,13094,0.195655666
1,13111,0.195655036
1,13127,0.195654455
1,13143,0.195653884
1,13160,0.19565329
1,13176,0.195652741
1,13192,0.195652203
1,13209,0.195651643
1,13225,0.195651125
1,13241,0.195650617
1,13258,0.195650088
1,13274,0.1956496
1,13290,0.195649121
1,13307,0.195648622
1,13323,0.195648161
1,13339,0.195647708
1,13356,0.195647237
1,13372,0.195646802
1,13388,0.195646375
1,13405,0.19564593
1,13421,0.195645519
1,13437,0.195645116
1,13454,0.195644695
1,13470,0.195644307
1,13486,0.195643926
1,13503,0.195643529
1,13519,0.195643163
1,13535,0.195642803
1,13552,0.195642428
1,13568,0.195642081
1,13584,0.195641741
1,13601,0.195641387
1,13617,0.195641059
1,13633,0.195640738
1,13650,0.195640403
